CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
237587,51145 NICOLETTE DR,CHESTERFIELD,MI,48047,42.6759512,-82.7806224
047033,1726 MARIE CIRCLE,JONESBORO,AR,72401,35.8246547,-90.6718981
108202,10300 SW 72ND ST,MIAMI,FL,33173,25.7003539,-80.3606508
677866,830 JULIE RIVERS DR,SUGAR LAND,TX,77478,29.6299247,-95.6010055
667001,POB 10003 PMB 1341,SAIPAN,MP,96950,,
147730,15W700 N FRONTAGE RD,BURR RIDGE,IL,60527,,
677889,11110 PETAL ST,DALLAS,TX,75238,32.8822293,-96.6889447
677927,3306 LARKIN LN,ROWLETT,TX,75089,32.9267902,-96.5685014
367733,501 WASHINGTON STREET,SOUTH POINT,OH,45680,,
679449,8515 FONDREN RD,HOUSTON,TX,77074,29.6862579,-95.5082449
