CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
239264,26645 W 12 MILE RD,SOUTHFIELD,MI,48034,42.5004074,-83.3103977
417063,125 SCITUATE AVE,CRANSTON,RI,02921,41.7788038,-71.4803857
327209,R 401 N HAPPY VALLEY RD,CARLSBAD,NM,88220,32.4337412,-104.293126
267561,101 SAINT LUKES CENTER DR,CHESTERFIELD,MO,63017,,
059219,34 EXECUTIVE PARK 212,IRVINE,CA,92614,,
227516,891 CENTRE ST,JAMAICA PLAIN,MA,02130,42.30919,-71.120444
109630,4000 S 57TH AVE,GREENACRES,FL,33463,26.614401,-80.135453
059237,3900 NEWPARK MALL ROAD,NEWARK,CA,94560,,
059302,1 N MAIN ST,MILPITAS,CA,95035,37.4307174,-121.9075464
059452,3333 CONCOURS,ONTARIO,CA,91764,34.074712,-117.5791283
