CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
387162,16083 SW UPPER BOONES FERRY RD,PORTLAND,OR,97224,,
237289,711 S HEALTH PKWY,THREE RIVERS,MI,49093,41.9350819,-85.6474157
059516,1322 E SHAW AVE,FRESNO,CA,93710,36.8086594,-119.7649296
047178,1023 RUSHING CIRCLE,LITTLE ROCK,AR,72204,34.7428423,-92.357862
077259,119 SANFORD ST,HAMDEN,CT,06514,,
369108,44 HILLWYCK DRIVE,TOLEDO,OH,43615,41.6380675,-83.6665268
127311,3-3367 KUHIO HWY,LIHUE,HI,96766,,
417069,LIFETIME MEDICAL SUPPORT SERVICES,PAWTUCKET,RI,02860,,
059689,817 W BEVERLY BLVD,MONTEBELLO,CA,90640,34.0170971,-118.1062122
059535,9948 HIBERT ST,SAN DIEGO,CA,92131,32.91413,-117.112305
