CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
058382,135 S JACKSON ST,GLENDALE,CA,91205,34.1450648,-118.2504361
453195,2608 TEXAS DRIVE,IRVING,TX,75062,32.8409552,-96.972726
147780,2720 S RIVER RD,DES PLAINES,IL,60018,42.0035565,-87.8654014
057659,980 TRANCAS ST,NAPA,CA,94558,38.3242166,-122.295515
557433,441 COLLEGE AVE,SANTA ROSA,CA,95401,38.4458321,-122.7190475
557792,1414 S AZUSA AVE,WEST COVINA,CA,91791,34.04776,-117.90688
217034,1 FREDERICK HEALTH WAY,FREDERICK,MD,21701,39.4534584,-77.3944512
197135,110 NORTH FRONT STREET,OAK GROVE,LA,71263,32.8638602,-91.388981
177185,302 N HOSPITAL DR,GIRARD,KS,66743,37.5146608,-94.857319
057256,2127 HARRISON AVE,EUREKA,CA,95501,40.7879958,-124.139496
