CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
337006,650 AIRBORNE PARKWAY,CHEEKTOWAGA,NY,14225,42.9394185,-78.7174063
059000,5670 WILSHIRE BLVD,LOS ANGELES,CA,90036,34.0622451,-118.3519477
237708,41100 FOX RUN RD,NOVI,MI,48377,42.511003,-83.455664
387048,6410 NE HALSEY ST,PORTLAND,OR,97213,45.5335934,-122.5974392
237711,30925 FORD RD,GARDEN CITY,MI,48135,42.3251908,-83.3442973
447086,6400 SHELBY VIEW DRIVE,MEMPHIS,TN,38134,35.1769748,-89.8506604
497285,64 SPORTS MEDICINE DRIVE,FISHERSVILLE,VA,22939,38.0942342,-78.9835588
147977,7301 N LINCOLN AVE,LINCOLNWOOD,IL,60712,42.0153096,-87.7439439
058047,12145 MORA DR,SANTA FE SPRINGS,CA,90670,33.9400559,-118.0740587
398072,10000 ANNS CHOICE WAY,WARMINSTER,PA,18974,,
